行李箱|xínglixiāng|noun|luggage, suitcase|3|12
自己|zìjǐ|pronoun|self|3|12
包|bāo|noun|bag, sack|3|12
发现|fāxiàn|verb|to discover|3|12
护照|hùzhào|noun|passport|3|12
起飞|qìfēi|verb|(of an aircraft) to take off|3|12
司机|sījī|noun|driver|3|12
教|jiào|verb|to teach|3|12
画|huà|verb / noun|to draw, to paint, drawing, painting|3|12
需要|xūyào|verb|to need|3|12
黑板|hēibǎn|noun|blackboard|3|12
终于|zhōngyú|adverb|finally|3|13
爷爷|yéye|noun|grandfather|3|13
礼物|lǐwù|noun|gift, present|3|13
奶奶|nǎinai|noun|grandmother|3|13
遇到|yùdào|verb|to come across, to run into|3|13
一边|yìbiān|adverb|indicating two actions taking place at the same time|3|13
过去|guòqù|noun|past|3|13
一般|yìbān|adjective|general, usual|3|13
愿意|yuànyì|verb|would like to|3|13
起来|qǐlái|verb|(indicating an upward movement) to rise|3|13
应该|yīnggāi|verb|should|3|13
生活|shēnghuó|noun|life|3|13
校长|xiàozhǎng|noun|headmaster|3|13
坏|huài|adjective|broken, ruined|3|13
经常|jīngcháng|adverb|often|3|13
打扫|dǎsǎo|verb|to clean, to sweep|3|14
干净|gānjìng|adjective|clean|3|14
然后|ránhòu|conjunction|then, after that|3|14
冰箱|bīngxiāng|noun|refrigerator|3|14
洗澡|xǐzǎo|verb|to take a bath/shower|3|14
节目|jiémù|noun|programme|3|14
月亮|yuèliàng|noun|moon|3|14
像|xiàng|verb|to be like|3|14
盘子|pánzi|noun|plate|3|14
刮风|guā fēng|verb|to be windy|3|14
叔叔|shūshu|noun|uncle|3|14
阿姨|āyí|noun|aunt|3|14
故事|gùshì|noun|story|3|14
声音|shēngyīn|noun|sound, voice|3|14
菜单|càidān|noun|menu|3|14
简单|jiǎndān|adjective|simple|3|14
香蕉|xiāngjiāo|noun|banana|3|14
留学|liú xué|verb|to study abroad|3|15
水平|shuǐpíng|noun|level, standard|3|15
提高|tí gāo|verb|to improve|3|15
练习|liànxí|noun|exercise|3|15
完成|wán chéng|verb|to complete|3|15
句子|jùzi|noun|sentence|3|15
其他|qítā|pronoun|the rest|3|15
发|fã|verb|to send|3|15
要求|yāoqiú|noun|requirement|3|15
注意|zhù yì|verb|to pay attention to|3|15
小云|Xiǎoyūn|Proper noun||3|15
上网|shàngwǎng|verb|to surf the internet|3|15
除了|chúle|preposition|other than|3|15
新闻|xīnwén|noun|news|3|15
花|huā|verb|to spend|3|15
极(了)|jí (le)|adverb|extremely|3|15
节日|jiérì|noun|festival|3|15
举行|jǔxíng|verb|to hold (a meeting, an event, etc.)|3|15
世界|shìjiè|noun|world|3|15
街道|jiēdào|noun|street|3|15
各|gè|pronoun|each|3|15
文化|wénhuà|noun|culture|3|15
城市|chéngshì|noun|city|3|16
如果|rúguǒ|conjunction|if, in case|3|16
认为|rènwéi|verb|to think, to believe|3|16
皮鞋|píxié|noun|leather shoes|3|16
帽子|màozi|noun|hat, cap|3|16
长|zhǎng|verb|to grow, to develop|3|16
可爱|kě'ài|adjective|lovely, adorable|3|16
米|mǐ|noun|metre|3|16
公斤|gōngjīn|noun|kilogramme|3|16
鼻子|bízi|noun|nose|3|16
头发|tóufa|noun|hair|3|16
检查|jiǎnchá|verb|to check, to examine|3|16
刷牙|shuā yá|verb|to brush teeth|3|16
关系|guānxì|noun|relationship|3|16
别人|biérén|noun|other people|3|16
词语|cíyǔ|noun|word, expression|3|16
请假|qǐng jià|verb|to ask for leave|3|17
一共|yígòng|adverb|in total|3|17
邻居|línjū|noun|neighbour|3|17
后来|hòulái|noun|later, afterwards|3|17
爱好|àihào|noun|hobby，interest|3|17
办法|bànfǎ|noun|way, approach|3|17
饱|bǎo|adjective|full, having eaten one's fill|3|17
为了|wèile|preposition|for the sake of|3|17
决定|juédìng|verb|to decide|3|17
选择|xuǎnzé|verb|to choose|3|17
冬(天)|dōng (tiān)|noun|winter|3|17
必须|bìxū|adverb|must|3|17
根据|gēnjù|preposition|according to, based on|3|17
情况|qíngkuàng|noun|condition, situation|3|17
口|kǒu|noun|mouth|3|17
渴|kě|adjective|thirsty|3|17
向|xiàng|preposition|towards|3|18
万|wàn|number|ten thousand|3|18
只|zhī|measure word|used for certain animals|3|18
嘴|zuǐ|noun|mouth|3|18
动物|dòngwù|noun|animal|3|18
段|duàn|measure word|used for sections or periods|3|18
不但……而且……|búdàn……ěrqiě……|conjunction|not only…… but also……|3|18
有名|yǒumíng|adjective|famous|3|18
同意|tóngyì|verb|to agree|3|18
相信|xiāngxìn|verb|to believe|3|18
关于|guānyú|preposition|about, regarding|3|18
机会|jīhuì|noun|opportunity|3|18
国家|guójiā|noun|country, nation|3|18
种|zhǒng|modal|kind, type|3|18
特点|tèdiǎn|noun|feature|3|18
奇怪|qíguài|adjective|strange, odd|3|18
地|de|particle|used to connect an adverbial modifier and the verb it modifies|3|18
耳朵|ěrduǒ|noun|ear|3|19
脸|liǎn|noun|face|3|19
短|duǎn|adjective|short|3|19
马|mǎ|noun|horse|3|19
张|zhāng|measure word|used for flat objects such as paper，photos, etc.|3|19
位|wèi|measure word|a respectful measure word for people|3|19
蓝|lán|adjective|blue|3|19
秋天|qiūtiān|noun|autumn,fall|3|19
过|guò|verb|to spend, to pass|3|19
鸟|niǎo|noun|bird|3|19
哭|kū|verb|to cry|3|19
黄河|Huánghé|noun|Yellow River. The second longest river in China|3|19
船|chuán|noun|boat, ship|3|19
经过|jīngguò|verb|to pass by|3|19
照相机|zhàoxiàngjī|noun|camera|3|20
被|bèi|preposition|used to indicαte the passive voice|3|20
难过|nánguò|adjective|sad|3|20
东|dōng|noun|east|3|20
信用卡|xìnyòngkǎ|noun|credit card|3|20
关心|guānxīn|to care for, to be interested in|3|20
只有……才………|zhǐyǒu……cái………|only... (that cán...)|3|20
成绩|Chéngjī|noun|grade, performance, achievement|3|20
碗|wǎn|noun|bowl|3|20
分|fēn|verb|to distinguish|3|20
解决|jiějué|verb|to solve|3|20
试|shì|verb|to try|3|20
真正|zhēnzhèng|adverb|really, truly|3|20
多么|duōme|adverb|very, to a great extent|3|20
